"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk","INT"
"3001","2","1","1","1","2","1","1","1","2","1","1","2"
"3002","3","1","1","1","3","2","2","1","1","1","1","2"
"3003","3","1","1","1","2","1","2","1","1","1","1","2"
"3004","3","1","1","1","3","2","1","2","2","2","1","2"
"3005","3","1","1","2","3","2","2","2","1","1","1","2"
"3006","3","1","1","1","3","1","2","1","2","1","1","2"
"3007","3","1","1","1","3","1","1","1","2","2","2","2"
"3008","3","1","1","1","2","1","1","1","1","1","1","2"
"3009","2","1","1","1","1","1","2","1","1","1","1","2"
"3010","3","1","1","1","2","1","2","1","1","1","1","2"
"3011","3","1","1","1","2","1","2","2","2","2","1","2"
"3012","3","1","1","1","2","1","1","1","1","1","1","2"
"3013","3","1","1","1","2","1","1","1","2","2","2","2"
"3014","3","1","1","1","1","1","2","2","1","1","1","2"
"3015","3","1","1","1","3","1","2","1","2","2","1","2"
"3016","3","1","1","1","3","2","2","2","1","1","1","2"
"3017","3","1","1","1","1","1","1","1","2","2","2","2"
"3018","3","1","1","1","2","2","2","2","2","1","1","2"
"3019","3","1","1","1","2","1","2","2","1","1","1","2"
"3020","3","1","1","1","2","2","1","2","2","1","1","2"
"3021","3","1","1","1","2","2","2","2","1","1","1","2"
"3022","3","1","1","1","2","2","2","2","2","2","2","2"
"3023","3","1","1","1","1","1","1","1","1","1","1","2"
"3024","3","1","1","1","1","1","1","1","1","1","1","2"
"3025","2","1","1","1","2","1","2","2","1","1","1","2"
"3026","1","1","1","1","2","2","2","2","1","1","1","2"
"3027","3","1","1","1","3","1","1","1","1","1","1","2"
"3028","3","1","1","1","3","1","2","2","1","2","1","2"
"3029","2","1","1","1","3","1","1","1","2","1","1","2"
"3030","3","1","1","1","2","1","2","2","1","1","1","2"
"3031","3","1","1","1","3","1","2","2","1","1","1","2"
"3032","3","1","1","1","3","1","2","2","1","1","1","2"
"3033","3","1","1","1","2","1","2","1","1","1","1","2"
"3034","2","1","1","1","1","1","2","1","2","1","2","2"
"3035","3","1","1","1","2","1","2","2","1","1","1","2"
"3036","3","1","1","1","3","1","1","1","1","1","1","2"
"3037","3","1","1","1","2","1","2","2","1","1","1","2"
"3038","3","1","1","1","2","1","1","1","1","1","1","2"
"3039","2","1","1","1","2","1","2","1","1","1","1","2"
"3040","2","1","1","1","3","1","1","1","1","1","1","2"
"3041","2","1","1","1","1","2","2","1","1","1","1","2"
"3042","3","1","1","1","2","2","2","2","1","1","1","2"
"3043","3","1","1","1","3","1","1","1","2","2","2","2"
"3044","2","1","1","1","1","1","1","1","1","1","1","2"
"3045","3","1","1","1","3","1","1","1","1","1","1","2"
"3046","3","1","1","1","3","1","1","1","2","1","2","2"
"3047","1","1","1","1","2","1","1","1","1","1","1","2"
"3048","3","1","1","1","1","1","1","1","1","1","1","2"
"3049","2","1","1","1","2","2","2","2","1","1","1","2"
"3050","3","1","1","1","2","1","1","1","2","1","1","2"
"3051","3","1","1","1","3","2","2","3","2","1","1","2"
"3052","3","1","1","1","3","1","2","1","1","1","1","2"
"3053","3","1","1","1","2","1","1","1","1","1","2","2"
"3054","3","1","1","1","3","1","1","1","1","2","1","2"
"3055","3","1","1","1","1","2","2","2","1","1","1","2"
"3056","3","1","2","1","3","1","1","2","1","1","1","2"
"3057","2","1","1","1","1","1","2","2","2","1","2","2"
"3058","3","1","1","1","2","1","2","2","1","1","1","2"
"3059","1","1","1","1","2","2","2","2","2","2","2","2"
"3060","1","1","1","1","2","1","1","1","1","1","1","2"
"3061","3","1","1","1","2","2","2","2","2","1","1","2"
"3062","3","1","1","1","3","1","2","2","1","1","1","2"
"3063","3","1","2","1","3","1","2","1","1","1","1","2"
"3064","3","1","1","1","2","1","1","1","2","2","1","2"
"3065","3","1","1","1","1","2","1","1","2","2","1","2"
"3066","2","1","1","1","1","1","1","1","1","1","1","2"
"3067","3","1","2","1","2","1","2","1","2","1","2","2"
"3068","2","1","1","1","2","1","2","2","2","1","1","2"
"3069","3","1","1","1","2","1","1","1","1","1","1","2"
"3070","2","1","1","1","3","2","2","2","1","1","1","2"
"3071","2","1","1","1","3","1","1","1","2","2","2","2"
"3072","3","1","1","1","2","1","1","1","1","1","1","2"
"3073","3","1","1","1","1","1","2","2","1","1","1","2"
"3074","3","1","1","1","2","2","2","2","2","2","2","2"
"3075","3","1","1","1","2","1","1","1","1","1","1","2"
"3076","3","1","1","1","1","1","1","1","1","1","1","2"
"3077","3","1","1","1","3","2","2","2","1","1","1","2"
"3078","3","1","1","1","2","1","2","2","1","1","1","2"
"3079","3","1","1","1","3","1","2","2","1","1","1","2"
"3080","3","1","1","1","3","2","2","2","2","1","1","2"
"3081","3","1","1","1","2","2","2","2","1","1","2","2"
"3082","3","1","2","1","2","2","2","2","2","1","2","2"
"3083","2","1","1","1","2","1","2","2","1","1","1","2"
"3084","2","1","2","1","3","1","2","1","2","2","1","2"
"3085","3","1","1","1","3","1","2","2","1","1","1","2"
"3086","3","1","1","1","3","2","2","2","1","1","1","2"
"3087","3","1","1","1","2","1","1","1","1","1","1","2"
"3088","3","1","1","1","2","1","2","2","2","1","2","2"
"3089","3","1","1","1","3","2","2","2","1","1","1","2"
"3090","3","1","1","1","3","2","2","2","2","1","1","2"
"3091","2","1","1","1","2","1","2","1","2","1","1","2"
"3092","3","1","1","1","1","2","2","2","1","2","1","2"
"3093","1","1","1","1","2","1","2","2","2","2","2","2"
"3094","2","1","1","1","3","1","2","1","2","2","2","2"
"3095","1","1","1","1","3","1","2","1","1","2","1","2"
"3096","3","1","1","1","3","1","2","1","1","1","1","2"
"3097","1","1","1","1","3","1","2","2","1","1","1","2"
"3098","3","1","1","1","1","2","2","2","2","1","1","2"
"3099","3","1","1","1","1","2","2","3","1","1","1","2"
"3100","2","1","1","1","2","1","1","1","1","1","1","2"
"3101","3","1","1","1","2","1","1","1","2","2","2","2"
"3102","3","1","1","1","2","2","1","2","2","2","1","2"
"3103","3","1","1","1","3","2","2","2","1","1","1","2"
"3104","3","1","1","1","3","1","1","1","1","1","1","2"
"3105","3","1","1","1","2","1","1","1","1","1","1","2"
"3106","1","1","1","1","2","1","2","2","1","2","1","2"
"3107","1","1","1","1","3","2","2","2","1","1","1","2"
"3108","3","1","1","1","3","1","2","2","1","1","1","2"
"3109","1","1","1","1","2","1","1","1","1","2","1","2"
"3110","1","1","1","1","2","1","1","1","1","1","1","2"
"3111","3","1","1","1","2","1","1","1","2","1","1","2"
"3112","3","1","1","1","3","1","1","1","2","2","2","2"
"3113","3","1","1","1","3","2","2","2","2","1","2","2"
"3114","3","1","1","1","3","1","1","1","1","1","1","2"
"3115","3","1","1","1","3","1","1","1","2","2","2","2"
"3116","3","1","1","1","2","1","2","1","1","1","2","2"
"3117","3","1","1","1","3","1","2","2","2","2","2","2"
"3118","2","1","1","1","3","1","2","2","2","2","2","2"
"3119","2","1","1","1","3","2","1","2","2","1","1","2"
"3120","3","1","1","1","2","2","2","2","1","1","1","2"
"3121","3","1","1","1","1","1","1","1","1","1","1","2"
"3122","3","1","1","1","3","1","1","1","1","1","2","2"
"3123","3","1","1","1","3","2","2","2","1","1","1","2"
"3124","3","1","1","1","2","1","1","1","1","1","1","2"
"3125","2","1","1","1","3","1","2","1","1","1","1","2"
"3126","3","1","1","1","3","2","2","2","1","1","1","2"
"3127","3","1","1","1","1","1","1","1","1","1","1","2"
"3128","3","1","1","1","2","2","2","2","1","1","1","2"
"3129","3","1","2","1","2","1","2","2","1","1","1","2"
"3130","3","1","1","1","2","1","2","1","2","1","1","2"
"3131","3","1","1","1","2","1","2","1","1","1","1","2"
"3132","3","1","1","1","1","2","2","2","1","1","1","2"
"3133","3","1","1","1","2","1","2","1","1","1","1","2"
"3134","1","1","1","1","2","2","2","2","1","2","1","2"
"3135","3","1","2","2","3","1","2","2","1","1","1","2"
"3136","2","1","1","1","2","1","2","2","1","1","1","2"
"3137","3","1","1","1","3","2","2","2","1","1","2","2"
"3138","3","1","1","1","3","1","1","2","1","1","1","2"
"3139","3","1","1","1","3","1","2","1","1","1","1","2"
"3140","3","1","1","1","1","1","2","2","1","1","1","2"
