"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk","INT"
"601","1","1","1","1","3","2","1","2","2","1","2","0"
"602","1","1","1","1","1","2","1","2","1","1","2","0"
"603","2","2","1","1","2","2","1","2","2","1","1","0"
"604","2","2","1","1","1","2","1","2","2","1","2","0"
"605","1","1","1","1","3","2","2","2","1","1","2","0"
"606","1","1","1","1","2","2","1","2","2","2","2","0"
"607","1","2","1","1","2","2","1","2","2","1","1","0"
"608","1","1","1","1","2","2","2","2","1","1","1","0"
"609","2","2","1","1","3","2","1","2","2","2","2","0"
"610","1","1","1","1","3","2","2","2","2","1","2","0"
"611","1","1","1","1","2","2","1","2","2","1","2","0"
"612","2","1","1","1","3","2","1","2","2","2","2","0"
"613","2","2","1","1","2","2","1","2","2","1","2","0"
"614","1","2","1","1","2","2","1","2","2","1","2","0"
"615","1","1","1","1","3","2","1","2","2","1","1","0"
"616","1","2","1","1","2","2","1","1","2","2","1","0"
"617","1","2","1","1","2","2","1","2","2","1","1","0"
"618","1","1","1","1","2","2","1","2","2","1","1","0"
"619","1","1","1","1","3","3","2","2","2","1","2","0"
"620","1","1","1","1","2","2","1","2","2","1","2","0"
"621","1","1","1","1","1","2","1","2","2","1","1","0"
"622","1","2","1","1","2","3","2","2","1","2","1","0"
"623","1","1","1","1","3","2","1","2","2","1","1","0"
"624","1","1","1","1","2","2","1","2","2","1","1","0"
"625","2","1","1","1","1","2","1","2","2","2","2","0"
"626","1","1","1","1","3","2","1","2","2","1","2","0"
"627","1","1","1","1","1","2","2","2","2","1","2","0"
"628","1","2","1","1","2","2","1","2","2","2","2","0"
"629","2","2","1","1","2","2","1","2","2","1","1","0"
"630","2","1","1","1","2","2","1","2","2","2","1","0"
"631","2","1","1","1","1","2","1","2","2","1","2","0"
"632","1","1","1","1","3","2","1","2","2","1","2","0"
"633","2","1","1","1","3","3","2","2","2","1","1","0"
"634","3","2","1","1","2","2","1","2","1","1","2","0"
"635","1","1","1","1","3","1","1","2","2","2","2","0"
"636","2","2","1","1","2","3","2","2","2","1","1","0"
"637","2","2","1","1","2","2","1","2","1","1","2","0"
"638","2","2","1","2","3","2","2","2","2","1","1","0"
"639","1","2","1","1","2","2","1","2","2","1","1","0"
"640","2","1","1","1","2","1","1","2","1","1","2","0"
"641","2","1","1","1","3","1","1","2","2","2","2","0"
"642","2","2","1","1","2","2","1","2","2","2","2","0"
"643","2","2","1","1","3","2","1","2","2","1","1","0"
"644","1","2","1","1","3","2","1","2","2","1","2","0"
"645","2","1","1","1","2","2","1","2","2","1","1","0"
"646","2","1","1","1","1","3","2","2","2","1","1","0"
"647","2","2","1","1","3","2","1","2","2","1","1","0"
"648","2","2","1","1","3","1","1","1","2","1","1","0"
"649","3","2","1","2","3","2","1","2","2","1","1","0"
"650","2","1","1","1","1","2","1","2","2","2","2","0"
"651","2","2","1","1","1","2","1","2","1","1","2","0"
"652","1","1","1","1","2","2","2","2","2","1","1","0"
"653","2","2","1","1","2","1","1","1","2","1","1","0"
"654","2","2","1","1","3","2","1","2","1","1","1","0"
"655","1","1","1","1","3","3","3","2","2","1","2","0"
"656","1","1","1","1","3","2","1","2","2","1","1","0"
"657","1","1","1","1","3","2","1","2","2","2","2","0"
"658","3","2","1","1","2","2","1","2","2","1","1","0"
"659","2","2","1","1","2","2","1","2","1","1","2","0"
"660","2","2","2","1","3","2","1","2","1","1","2","0"
"661","1","1","1","1","2","1","1","2","1","1","1","0"
"662","1","2","1","1","2","2","1","2","1","1","2","0"
"663","1","1","1","1","1","2","1","2","2","1","1","0"
"664","2","1","1","1","3","2","1","2","2","1","2","0"
"665","2","2","1","1","3","2","1","2","2","1","1","0"
"666","2","2","1","1","3","2","1","2","2","1","1","0"
"667","2","2","1","1","2","2","1","1","2","1","2","0"
"668","2","2","1","2","3","3","2","2","2","2","1","0"
"669","2","2","1","1","2","2","1","2","1","2","1","0"
"670","2","2","1","1","2","2","1","2","1","1","2","0"
"671","2","2","1","1","1","2","1","2","2","1","1","0"
"672","1","1","1","1","3","2","1","2","2","1","1","0"
"673","1","1","1","1","3","2","1","2","2","1","1","0"
"674","2","2","1","1","2","2","1","2","2","1","1","0"
"675","1","2","1","1","2","2","1","2","2","1","1","0"
"676","1","1","1","1","1","2","1","2","1","2","1","0"
"677","2","1","1","1","2","2","1","2","1","1","1","0"
