"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk"
"1","[1.61,39.52]","[1,15.1]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"2","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"3","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"4","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"5","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","(25,44.34]","(35.9,343]"
"6","[1.61,39.52]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(44.34,170]","(35.9,343]"
"7","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"8","(39.52,74.3]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(39.6,3555]","(192.2,547]","[1,8.06]","[1.53,25]","(9.82,35.9]"
"9","(74.3,552]","(24.8,389]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"10","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(178,843]","(18.88,45.3]","[1,15.32]","(39.6,3555]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"11","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"12","(39.52,74.3]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"13","(74.3,552]","(24.8,389]","[1,10.8]","(23.3,178]","[1,18.88]","[1,15.32]","[1.7,23.5]","(192.2,547]","(16.58,106]","(25,44.34]","(35.9,343]"
"14","[1.61,39.52]","(24.8,389]","[1,10.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","(25,44.34]","(35.9,343]"
"15","[1.61,39.52]","(15.1,24.8]","[1,10.8]","[1.11,23.3]","(45.3,764]","[1,15.32]","[1.7,23.5]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
"16","(39.52,74.3]","[1,15.1]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","[1,9.82]"
"17","[1.61,39.52]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","[1.95,192.2]","(16.58,106]","(44.34,170]","[1,9.82]"
"18","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"19","[1.61,39.52]","(15.1,24.8]","[1,10.8]","(23.3,178]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(16.58,106]","(25,44.34]","(9.82,35.9]"
"20","(39.52,74.3]","(15.1,24.8]","(10.8,24.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"21","[1.61,39.52]","[1,15.1]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"22","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","(25,44.34]","(9.82,35.9]"
"23","(39.52,74.3]","(24.8,389]","[1,10.8]","(23.3,178]","(18.88,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","(44.34,170]","[1,9.82]"
"24","(39.52,74.3]","(24.8,389]","(10.8,24.8]","(23.3,178]","[1,18.88]","[1,15.32]","(23.5,39.6]","(192.2,547]","(16.58,106]","(44.34,170]","(35.9,343]"
"25","(39.52,74.3]","(24.8,389]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(25.3,2571]","(39.6,3555]","(547,4491]","(16.58,106]","(44.34,170]","(9.82,35.9]"
"26","[1.61,39.52]","[1,15.1]","[1,10.8]","(178,843]","(18.88,45.3]","(15.32,25.3]","(23.5,39.6]","(547,4491]","(8.06,16.58]","(25,44.34]","[1,9.82]"
"27","[1.61,39.52]","(15.1,24.8]","(10.8,24.8]","[1.11,23.3]","[1,18.88]","(15.32,25.3]","(23.5,39.6]","(192.2,547]","(8.06,16.58]","[1.53,25]","[1,9.82]"
